iter	Logloss
0	0.6544639112
1	0.6253291334
2	0.6012923847
3	0.5732999038
4	0.5543439198
5	0.5362752177
6	0.5195400825
7	0.505982779
8	0.4935526284
9	0.482794293
10	0.473405235
11	0.4644408286
12	0.4553333449
13	0.4472462955
14	0.4397671975
15	0.4330967026
16	0.417433866
17	0.4080778577
18	0.4022623468
19	0.3957873572
20	0.3901675126
21	0.3855757565
22	0.3809851621
23	0.3757239344
24	0.3720458217
25	0.3658111579
26	0.3614788442
27	0.3582151652
28	0.3549097685
29	0.3519369447
30	0.3493677907
31	0.3471181083
32	0.345026418
33	0.339457732
34	0.3357511126
35	0.3330640511
36	0.3311105097
37	0.3296397149
38	0.3269018083
39	0.3254337371
40	0.3242598699
41	0.3222724583
42	0.3208409258
43	0.3195454906
44	0.3172775459
45	0.3159275796
46	0.3148718893
47	0.3137539254
48	0.3126025815
49	0.3115199673
50	0.3106407311
51	0.3097962451
52	0.309017611
53	0.3083384649
54	0.3074946897
55	0.3068796247
56	0.3060009569
57	0.3048390303
58	0.3040194266
59	0.3032831251
60	0.3026415709
61	0.3019902862
62	0.3011831081
63	0.3005998302
64	0.2999331482
65	0.2993448131
66	0.298454577
67	0.2979412878
68	0.2974396659
69	0.2965247721
70	0.2960707048
71	0.2955927973
72	0.2951090423
73	0.2944315294
74	0.294042999
75	0.2936696826
76	0.2933335439
77	0.2929521689
78	0.2925436218
79	0.2921002884
80	0.2917533421
81	0.2909730697
82	0.2905854607
83	0.2902743423
84	0.2899898301
85	0.2896030098
86	0.2891240985
87	0.2888565074
88	0.2885683473
89	0.2881412901
90	0.2878298451
91	0.2876257135
92	0.2874062328
93	0.2871635147
94	0.2869636115
95	0.2867747379
96	0.2865654789
97	0.2863556522
98	0.2861386626
99	0.2859381644
100	0.2857721847
101	0.285617803
102	0.2854445108
103	0.2852439271
104	0.2848401427
105	0.2845441717
106	0.284291017
107	0.284105775
108	0.2839593668
109	0.2837862671
110	0.2836453754
111	0.2834687531
112	0.2833131619
113	0.2831627976
