iter	Passed	Remaining
0	4	8979
1	8	8256
2	11	7692
3	15	7591
4	18	7498
5	22	7421
6	25	7400
7	29	7338
8	32	7288
9	36	7274
10	39	7218
11	43	7201
12	47	7203
13	50	7159
14	53	7143
15	57	7117
16	60	7092
17	65	7229
18	69	7220
19	72	7195
20	76	7173
21	79	7165
22	83	7148
23	86	7133
24	90	7114
25	93	7089
26	96	7066
27	100	7066
28	103	7055
29	107	7038
30	110	7020
31	113	6996
32	117	6985
33	120	6973
34	124	6967
35	127	6964
36	130	6947
37	134	6957
38	138	6955
39	141	6939
40	145	6930
41	148	6921
42	151	6912
43	155	6903
44	159	6912
45	162	6908
46	166	6897
47	169	6905
48	173	6893
49	176	6884
50	179	6872
51	183	6864
52	186	6855
53	190	6853
54	194	6881
55	200	6946
56	205	7011
57	211	7070
58	217	7141
59	223	7219
60	227	7220
61	230	7207
62	235	7229
63	239	7236
64	242	7229
65	246	7215
66	250	7212
67	253	7197
68	256	7190
69	260	7181
70	264	7183
71	268	7185
72	271	7172
73	275	7160
74	278	7148
75	282	7139
76	285	7135
77	289	7136
78	293	7130
79	296	7119
80	300	7119
81	308	7206
82	312	7226
83	318	7261
84	323	7292
85	329	7323
86	334	7346
87	337	7342
88	343	7371
89	346	7361
90	350	7350
91	354	7347
92	357	7337
93	361	7324
94	364	7316
95	368	7308
96	371	7295
97	375	7282
98	379	7280
99	382	7269
100	386	7261
101	390	7258
102	403	7428
103	409	7459
104	415	7499
105	422	7553
106	427	7559
107	431	7559
108	435	7552
109	438	7536
110	442	7527
111	445	7517
112	449	7504
113	453	7495
114	456	7485
115	460	7475
116	463	7460
117	466	7447
118	470	7432
119	473	7420
120	477	7408
121	480	7401
122	484	7391
123	487	7380
124	491	7367
125	494	7360
126	498	7349
127	501	7338
128	505	7327
129	508	7315
130	512	7305
131	515	7296
132	519	7286
133	522	7275
134	525	7263
135	529	7253
136	532	7242
137	536	7235
138	540	7230
139	543	7220
140	546	7209
141	550	7200
142	553	7193
143	557	7186
144	561	7179
145	564	7169
146	568	7163
147	571	7156
148	575	7152
149	579	7146
150	583	7141
151	586	7136
152	590	7128
153	593	7120
154	600	7144
155	606	7165
156	613	7206
157	617	7204
158	621	7197
159	625	7191
160	628	7181
161	634	7200
162	638	7193
163	641	7186
164	645	7183
165	649	7179
166	653	7169
167	657	7167
168	661	7161
169	664	7152
170	667	7143
171	671	7133
172	674	7125
173	678	7119
174	682	7115
175	685	7109
176	689	7099
177	693	7093
178	697	7090
179	700	7084
180	704	7079
181	707	7070
182	711	7063
183	714	7055
184	718	7047
185	721	7037
186	725	7033
187	729	7027
188	732	7019
189	736	7011
190	739	7005
191	743	6997
192	747	6994
193	750	6989
194	754	6982
195	757	6975
196	761	6968
197	764	6958
198	768	6954
199	771	6945
200	775	6938
201	779	6936
202	782	6929
203	788	6937
204	793	6951
205	799	6966
206	808	6998
207	811	6991
208	815	6985
209	818	6979
210	823	6980
211	827	6975
212	830	6967
213	833	6959
214	837	6953
215	840	6944
216	844	6937
217	847	6931
218	851	6923
219	854	6915
220	857	6906
221	861	6898
222	864	6889
223	868	6884
224	871	6877
225	875	6870
226	878	6863
227	882	6857
228	885	6849
229	889	6841
230	892	6834
231	895	6827
232	899	6818
233	902	6810
234	905	6803
235	909	6796
236	912	6789
237	916	6782
238	919	6775
239	922	6768
240	926	6761
241	929	6755
242	933	6747
243	936	6739
244	939	6731
245	943	6725
246	946	6718
247	950	6711
248	953	6703
249	956	6697
250	960	6690
251	963	6683
252	966	6676
253	970	6668
254	973	6661
255	976	6655
256	981	6657
257	987	6668
258	993	6678
259	999	6689
260	1006	6709
261	1010	6702
262	1015	6703
263	1018	6699
264	1022	6692
265	1025	6687
266	1030	6687
267	1033	6679
268	1037	6675
269	1041	6670
270	1044	6663
271	1047	6655
272	1051	6651
273	1054	6645
274	1058	6638
275	1061	6631
276	1065	6629
277	1069	6622
278	1072	6615
279	1076	6610
280	1079	6606
281	1083	6598
282	1086	6592
283	1089	6586
284	1093	6578
285	1096	6571
286	1100	6567
287	1103	6560
288	1107	6554
289	1110	6547
290	1113	6541
291	1117	6535
292	1120	6529
293	1124	6522
294	1127	6515
295	1130	6508
296	1133	6500
297	1137	6494
298	1140	6488
299	1143	6482
300	1147	6475
301	1150	6469
302	1153	6462
303	1157	6455
304	1160	6448
305	1163	6443
306	1167	6438
307	1170	6432
308	1175	6433
309	1182	6445
310	1188	6454
311	1194	6461
312	1201	6477
313	1206	6477
314	1209	6472
315	1213	6467
316	1218	6469
317	1223	6470
318	1226	6464
319	1230	6458
320	1233	6453
321	1237	6448
322	1241	6443
323	1244	6437
324	1247	6430
325	1251	6424
326	1254	6418
327	1258	6412
328	1261	6406
329	1264	6400
330	1268	6394
331	1271	6390
332	1275	6384
333	1278	6378
334	1282	6372
335	1285	6366
336	1288	6360
337	1292	6355
338	1295	6349
339	1299	6344
340	1302	6338
341	1306	6334
342	1310	6328
343	1313	6323
344	1316	6317
345	1320	6313
346	1324	6307
347	1327	6301
348	1332	6301
349	1335	6295
350	1339	6292
351	1342	6287
352	1346	6282
353	1349	6276
354	1354	6275
355	1357	6271
356	1361	6265
357	1364	6260
358	1370	6264
359	1376	6270
360	1383	6281
361	1389	6288
362	1394	6286
363	1398	6286
364	1402	6280
365	1405	6274
366	1409	6270
367	1412	6265
368	1416	6262
369	1420	6257
370	1424	6253
371	1427	6247
372	1431	6242
373	1434	6236
374	1437	6230
375	1441	6225
376	1444	6219
377	1447	6213
378	1451	6208
379	1455	6203
380	1458	6198
381	1462	6193
382	1465	6187
383	1469	6182
384	1472	6177
385	1476	6172
386	1479	6166
387	1483	6161
388	1486	6155
389	1490	6151
390	1493	6147
391	1497	6141
392	1500	6137
393	1504	6132
394	1507	6127
395	1511	6122
396	1514	6116
397	1518	6113
398	1522	6107
399	1525	6102
400	1528	6096
401	1532	6091
402	1535	6086
403	1539	6080
404	1542	6075
405	1546	6070
406	1549	6065
407	1553	6060
408	1556	6055
409	1560	6049
410	1565	6052
411	1571	6056
412	1577	6062
413	1585	6075
414	1589	6070
415	1593	6066
416	1596	6060
417	1601	6060
418	1604	6055
419	1608	6050
420	1611	6045
421	1615	6040
422	1618	6034
423	1622	6029
424	1625	6025
425	1629	6020
426	1632	6015
427	1636	6009
428	1639	6004
429	1643	5999
430	1646	5995
431	1650	5991
432	1654	5985
433	1657	5980
434	1660	5975
435	1664	5971
436	1667	5965
437	1671	5960
438	1674	5955
439	1678	5951
440	1682	5946
441	1685	5942
442	1689	5936
443	1692	5932
444	1696	5927
445	1699	5923
446	1703	5917
447	1706	5913
448	1710	5907
449	1713	5902
450	1717	5897
451	1720	5892
452	1724	5887
453	1727	5882
454	1730	5877
455	1734	5872
456	1737	5867
457	1741	5861
458	1744	5856
459	1748	5852
460	1751	5847
461	1755	5844
462	1761	5848
463	1767	5852
464	1774	5856
465	1782	5867
466	1786	5864
467	1790	5862
468	1794	5857
469	1797	5852
470	1801	5849
471	1805	5845
472	1809	5840
473	1812	5836
474	1816	5831
475	1819	5826
476	1823	5820
477	1826	5815
478	1829	5810
479	1833	5805
480	1836	5800
481	1840	5796
482	1843	5791
483	1847	5786
484	1850	5781
485	1854	5776
486	1857	5772
487	1861	5767
488	1865	5763
489	1868	5758
490	1872	5753
491	1875	5748
492	1879	5744
493	1883	5740
494	1886	5736
495	1890	5731
496	1893	5726
497	1897	5721
498	1900	5716
499	1904	5712
500	1907	5707
501	1910	5702
502	1914	5697
503	1917	5692
504	1921	5688
505	1924	5682
506	1928	5677
507	1931	5673
508	1935	5668
509	1938	5663
510	1942	5658
511	1945	5654
512	1951	5657
513	1957	5659
514	1963	5661
515	1969	5664
516	1977	5671
517	1980	5666
518	1984	5662
519	1988	5658
520	1992	5656
521	1997	5656
522	2001	5652
523	2005	5647
