iter	Passed	Remaining
0	166	333223
1	181	181662
2	200	133439
3	217	108624
4	235	94129
5	253	84343
6	272	77527
7	289	71990
8	307	68078
9	325	64739
10	343	62182
11	362	60034
12	381	58281
13	400	56773
14	420	55598
15	450	55838
16	466	54462
17	498	54862
18	520	54277
19	540	53547
20	561	52889
21	582	52327
22	627	53972
23	650	53531
24	671	53087
25	736	55917
26	757	55339
27	777	54757
28	800	54417
29	823	54046
30	844	53665
31	863	53126
32	885	52793
33	909	52578
34	929	52185
35	950	51869
36	971	51545
37	990	51141
38	1008	50709
39	1027	50355
40	1044	49892
41	1062	49554
42	1082	49259
43	1102	48994
44	1124	48851
45	1145	48671
46	1168	48564
47	1188	48326
48	1208	48109
49	1231	48027
50	1255	47961
51	1274	47736
52	1297	47681
53	1321	47618
54	1342	47464
55	1362	47287
56	1390	47412
57	1412	47296
58	1430	47071
59	1450	46911
60	1473	46851
61	1494	46711
62	1517	46658
63	1537	46524
64	1555	46305
65	1575	46172
66	1594	46003
67	1613	45841
68	1631	45657
69	1650	45510
70	1666	45273
71	1682	45055
72	1700	44899
73	1719	44746
74	1736	44560
75	1757	44483
76	1775	44339
77	1793	44200
78	1811	44051
79	1832	43983
80	1851	43873
81	1874	43834
82	1895	43777
83	1913	43648
84	1932	43532
85	1951	43421
86	1971	43350
87	1992	43285
88	2011	43197
89	2033	43147
90	2052	43055
91	2070	42937
92	2091	42876
93	2107	42729
94	2125	42612
95	2143	42515
96	2164	42456
97	2181	42347
98	2200	42250
99	2218	42152
100	2236	42043
101	2259	42044
102	2282	42038
103	2304	42016
104	2326	41987
105	2345	41912
106	2367	41893
107	2388	41850
108	2411	41829
109	2431	41778
110	2451	41727
111	2474	41715
112	2496	41685
113	2513	41585
114	2534	41550
115	2555	41510
116	2573	41417
117	2596	41404
118	2614	41321
119	2631	41224
120	2654	41227
121	2678	41233
122	2702	41247
123	2724	41213
124	2747	41212
125	2767	41161
126	2789	41134
127	2808	41075
128	2833	41092
129	2867	41252
130	2888	41205
131	2905	41116
132	2925	41066
133	2947	41041
134	2963	40939
135	2983	40891
136	3007	40893
137	3024	40809
138	3041	40717
139	3059	40646
140	3074	40541
141	3094	40486
142	3112	40421
143	3131	40359
144	3151	40313
145	3170	40262
146	3188	40191
147	3209	40160
148	3228	40110
149	3249	40080
150	3270	40047
151	3290	40003
152	3311	39970
153	3331	39932
154	3352	39906
155	3376	39911
156	3394	39849
157	3415	39822
158	3434	39767
159	3453	39713
160	3473	39672
161	3492	39630
162	3511	39579
163	3534	39567
164	3555	39541
165	3578	39530
166	3596	39478
167	3615	39421
168	3634	39374
169	3654	39343
170	3674	39300
171	3692	39241
172	3712	39211
173	3733	39185
174	3748	39092
175	3767	39041
176	3784	38978
177	3802	38922
178	3821	38880
179	3840	38830
180	3859	38783
181	3879	38752
182	3900	38725
183	3921	38705
184	3941	38670
185	3961	38632
186	3980	38592
187	3999	38550
188	4019	38518
189	4038	38470
190	4057	38430
191	4079	38413
192	4095	38348
193	4116	38326
194	4135	38278
195	4155	38247
196	4175	38218
197	4196	38191
198	4217	38171
199	4240	38160
200	4258	38115
201	4277	38074
202	4297	38045
203	4316	37999
204	4337	37981
205	4354	37919
206	4371	37867
207	4390	37823
208	4409	37789
209	4432	37778
210	4450	37733
211	4468	37685
212	4487	37650
213	4506	37611
214	4526	37582
215	4548	37565
216	4567	37525
217	4585	37480
218	4608	37480
219	4629	37457
220	4646	37404
221	4666	37376
222	4685	37338
223	4706	37313
224	4726	37285
225	4745	37247
226	4761	37190
227	4780	37155
228	4799	37117
229	4821	37103
230	4841	37077
231	4861	37049
232	4880	37011
233	4900	36981
234	4922	36969
235	4945	36963
236	4965	36939
237	4983	36891
238	5002	36860
239	5022	36828
240	5042	36802
241	5063	36784
242	5084	36760
243	5104	36735
244	5121	36689
245	5143	36672
246	5162	36641
247	5180	36598
248	5200	36569
249	5224	36572
250	5243	36540
251	5265	36525
252	5285	36496
253	5311	36513
254	5332	36489
255	5350	36449
256	5368	36408
257	5387	36374
258	5404	36326
259	5424	36304
260	5442	36265
261	5467	36268
262	5488	36249
263	5507	36215
264	5525	36179
265	5542	36133
266	5564	36116
267	5586	36104
268	5608	36090
269	5629	36072
270	5648	36039
271	5669	36017
272	5689	35989
273	5708	35957
274	5729	35941
275	5749	35911
276	5772	35908
277	5805	35963
278	5825	35931
279	5843	35896
280	5866	35889
281	5885	35858
282	5906	35835
283	5926	35809
284	5946	35780
285	5969	35776
286	5992	35767
287	6013	35744
288	6029	35699
289	6047	35656
290	6062	35604
291	6079	35562
292	6096	35519
293	6116	35493
294	6133	35446
295	6152	35416
296	6167	35362
297	6186	35332
298	6203	35293
299	6221	35253
300	6241	35232
301	6261	35202
302	6281	35180
303	6299	35141
304	6316	35103
305	6333	35064
306	6350	35020
307	6367	34980
308	6386	34952
309	6405	34918
310	6424	34888
311	6445	34874
312	6469	34868
313	6486	34830
314	6504	34792
315	6521	34753
316	6538	34713
317	6558	34692
318	6576	34657
319	6599	34645
320	6613	34594
321	6630	34553
322	6647	34514
323	6667	34487
324	6684	34453
325	6705	34432
326	6725	34410
327	6751	34415
328	6769	34380
329	6789	34358
330	6808	34328
331	6825	34292
332	6845	34267
333	6867	34254
334	6887	34231
335	6905	34200
336	6925	34173
337	6941	34134
338	6962	34113
339	6978	34071
340	6997	34042
341	7017	34018
342	7037	33995
343	7058	33981
344	7075	33940
345	7093	33909
346	7111	33876
347	7130	33847
348	7147	33814
349	7165	33780
350	7190	33781
351	7212	33766
352	7229	33732
353	7248	33701
354	7266	33670
355	7287	33652
356	7304	33618
357	7323	33591
358	7342	33561
359	7360	33530
360	7378	33501
361	7395	33463
362	7413	33432
363	7435	33417
364	7457	33407
365	7475	33373
366	7494	33349
367	7515	33328
368	7530	33287
369	7553	33274
370	7575	33261
371	7596	33246
372	7621	33243
373	7642	33225
374	7662	33202
375	7679	33167
376	7697	33139
377	7717	33117
378	7739	33101
379	7758	33073
380	7777	33048
381	7799	33034
382	7818	33009
383	7836	32979
384	7857	32962
385	7876	32934
386	7894	32905
387	7913	32878
388	7934	32858
389	7953	32833
390	7971	32803
391	7993	32788
392	8014	32770
393	8032	32741
394	8053	32722
395	8075	32708
396	8090	32666
397	8110	32644
398	8127	32610
399	8143	32573
400	8160	32541
401	8182	32527
402	8201	32499
403	8219	32469
404	8236	32436
405	8253	32402
406	8275	32391
407	8292	32355
408	8311	32330
409	8327	32292
410	8347	32273
411	8367	32252
412	8383	32215
413	8402	32190
414	8423	32171
415	8444	32153
416	8463	32127
417	8483	32107
418	8503	32085
419	8521	32056
420	8541	32036
421	8558	32004
422	8577	31978
423	8596	31951
424	8616	31931
425	8634	31903
426	8652	31873
427	8672	31852
428	8693	31837
429	8727	31864
430	8745	31837
431	8767	31822
432	8792	31818
433	8809	31788
434	8837	31794
435	8889	31889
436	8917	31896
437	8939	31879
438	8959	31858
439	8976	31827
440	8997	31809
441	9016	31781
442	9036	31760
443	9057	31743
444	9076	31716
445	9098	31701
446	9118	31681
447	9138	31658
448	9156	31628
449	9174	31601
450	9191	31569
451	9211	31546
452	9228	31514
453	9245	31483
454	9265	31461
455	9283	31434
456	9301	31406
457	9319	31378
458	9337	31348
459	9360	31338
460	9379	31313
461	9396	31279
462	9413	31250
463	9434	31231
464	9451	31200
465	9470	31175
466	9500	31187
467	9517	31156
468	9537	31133
469	9562	31130
470	9581	31103
471	9598	31074
472	9617	31048
473	9647	31060
474	9667	31037
475	9687	31015
476	9704	30985
477	9721	30953
478	9743	30938
479	9759	30904
480	9775	30871
481	9799	30862
482	9815	30829
483	9835	30806
484	9850	30768
485	9870	30748
486	9890	30728
487	9908	30699
488	9929	30681
489	9949	30660
490	9967	30633
491	9986	30609
492	10005	30584
493	10029	30575
494	10047	30549
495	10066	30525
496	10085	30499
497	10106	30480
498	10124	30453
499	10143	30429
500	10161	30404
501	10178	30374
502	10196	30346
503	10216	30325
504	10230	30287
505	10251	30269
506	10268	30236
507	10286	30210
508	10305	30187
509	10323	30161
510	10343	30141
511	10361	30113
512	10383	30097
513	10403	30077
514	10421	30048
515	10440	30026
516	10459	30001
517	10477	29977
518	10497	29955
519	10516	29932
520	10536	29911
521	10556	29891
522	10575	29867
523	10600	29860
524	10621	29842
525	10638	29811
526	10659	29793
527	10676	29766
528	10696	29743
529	10714	29717
530	10733	29694
531	10752	29670
532	10774	29656
533	10792	29628
534	10808	29595
535	10826	29570
536	10843	29540
537	10864	29522
538	10886	29507
539	10909	29494
540	10927	29468
541	10945	29442
542	10965	29424
543	10985	29402
544	11005	29382
545	11026	29363
546	11046	29343
547	11066	29321
548	11084	29295
549	11100	29266
550	11121	29245
551	11148	29243
552	11167	29220
553	11186	29196
554	11205	29174
555	11225	29154
556	11244	29129
557	11261	29102
558	11280	29079
559	11298	29054
560	11316	29026
561	11332	28997
562	11350	28969
563	11367	28941
564	11382	28909
565	11398	28878
566	11414	28849
567	11430	28817
568	11447	28789
569	11465	28764
570	11484	28740
571	11507	28727
572	11526	28705
573	11554	28704
574	11576	28690
575	11598	28674
576	11617	28652
577	11638	28633
578	11656	28607
579	11673	28580
580	11692	28557
581	11710	28530
582	11730	28510
583	11749	28488
584	11771	28473
585	11792	28454
586	11810	28428
587	11830	28410
588	11849	28387
589	11866	28360
590	11887	28341
591	11906	28317
592	11923	28291
593	11944	28273
594	11960	28243
595	11982	28226
596	12001	28203
597	12018	28176
598	12035	28149
599	12057	28134
600	12077	28114
601	12093	28084
602	12111	28060
603	12127	28030
604	12151	28018
605	12176	28011
606	12195	27986
607	12213	27963
608	12248	27975
609	12265	27948
610	12289	27937
611	12308	27916
612	12328	27895
613	12345	27868
614	12364	27844
615	12384	27825
616	12401	27797
617	12419	27773
618	12439	27752
619	12456	27726
620	12474	27701
621	12493	27677
622	12513	27659
623	12533	27639
624	12551	27613
625	12576	27604
626	12598	27587
627	12619	27570
628	12637	27545
629	12661	27533
630	12679	27509
631	12700	27490
632	12720	27470
633	12743	27456
634	12764	27438
635	12782	27414
636	12806	27401
637	12831	27393
638	12851	27372
639	12870	27349
640	12889	27327
641	12911	27311
642	12929	27286
643	12952	27273
644	12974	27255
645	12992	27232
646	13013	27214
647	13034	27195
648	13052	27170
649	13072	27151
650	13093	27131
651	13113	27111
652	13132	27090
653	13166	27098
654	13185	27074
655	13206	27058
656	13225	27034
657	13253	27031
658	13271	27007
659	13290	26983
660	13311	26964
661	13359	27001
662	13376	26974
663	13393	26947
664	13412	26925
665	13431	26903
666	13452	26884
667	13471	26862
668	13487	26834
669	13510	26818
670	13530	26798
671	13548	26775
672	13566	26750
673	13588	26733
674	13614	26723
675	13634	26704
676	13653	26681
677	13671	26657
678	13687	26629
679	13707	26607
680	13728	26589
681	13749	26571
682	13766	26545
683	13785	26523
684	13809	26510
685	13827	26485
686	13843	26458
687	13862	26435
688	13880	26412
689	13899	26388
690	13916	26363
691	13936	26342
692	13955	26319
693	13973	26296
694	13994	26276
695	14014	26257
696	14031	26230
697	14049	26207
698	14068	26185
699	14086	26160
700	14104	26136
701	14124	26117
702	14143	26093
703	14163	26074
704	14185	26056
705	14213	26052
706	14235	26034
707	14254	26012
708	14273	25990
709	14293	25970
710	14315	25953
711	14333	25928
712	14351	25904
713	14373	25889
714	14394	25869
715	14411	25844
716	14432	25824
717	14450	25802
718	14469	25779
719	14488	25758
720	14508	25736
721	14529	25718
722	14551	25702
723	14572	25683
724	14590	25659
725	14610	25638
726	14628	25614
727	14647	25593
728	14667	25571
729	14683	25545
730	14700	25520
731	14717	25495
732	14734	25468
733	14750	25441
734	14769	25419
735	14789	25399
736	14810	25381
737	14829	25358
738	14849	25338
739	14868	25317
740	14887	25295
741	14905	25270
742	14923	25248
743	14955	25246
744	14974	25226
745	14996	25208
746	15016	25189
747	15034	25164
748	15053	25142
749	15070	25118
750	15087	25092
751	15107	25072
752	15134	25063
753	15152	25039
754	15175	25025
755	15198	25009
756	15222	24995
757	15239	24970
758	15258	24947
759	15276	24924
760	15295	24902
761	15317	24885
762	15335	24862
763	15355	24841
764	15374	24820
765	15397	24805
766	15419	24788
767	15436	24762
768	15454	24738
769	15471	24714
770	15495	24700
771	15512	24676
772	15530	24651
773	15552	24635
774	15570	24611
775	15588	24588
776	15609	24568
777	15628	24547
778	15645	24522
779	15664	24501
780	15685	24482
781	15704	24460
782	15724	24440
783	15742	24416
784	15760	24392
785	15775	24366
786	15796	24346
787	15815	24325
788	15837	24307
789	15854	24283
790	15873	24261
791	15893	24241
792	15911	24218
793	15931	24198
794	15972	24209
795	15992	24189
796	16013	24171
797	16032	24149
798	16053	24130
799	16074	24112
800	16101	24102
801	16120	24079
802	16140	24060
803	16159	24038
804	16178	24016
805	16198	23995
806	16219	23976
807	16244	23964
808	16269	23951
809	16292	23935
810	16311	23914
811	16335	23899
812	16353	23876
813	16369	23850
814	16388	23828
815	16404	23802
816	16422	23779
817	16440	23756
818	16458	23733
819	16475	23709
820	16493	23685
821	16515	23668
822	16535	23647
823	16552	23623
824	16574	23606
825	16597	23589
826	16619	23572
827	16637	23550
828	16656	23527
829	16676	23508
830	16701	23494
831	16718	23470
832	16737	23449
833	16757	23428
834	16775	23405
835	16793	23382
836	16813	23361
837	16841	23352
838	16864	23336
839	16882	23314
840	16902	23293
841	16924	23276
842	16942	23253
843	16962	23232
844	16981	23211
845	17000	23189
846	17024	23174
847	17043	23153
848	17063	23133
849	17085	23115
850	17106	23096
851	17123	23072
