iter	Logloss
0	0.4670774961
1	0.4581343578
2	0.451894517
3	0.447843591
4	0.4417147562
5	0.4359855014
6	0.4336755538
7	0.4323075421
8	0.4312834845
9	0.4304689343
10	0.4292373953
11	0.4284474973
12	0.4274552179
13	0.4262487995
14	0.4254974309
15	0.4248641418
16	0.4243163478
17	0.4238810283
18	0.4231405895
19	0.4224598183
20	0.4221407266
21	0.4216190988
22	0.4212830512
23	0.4209488108
24	0.4208452144
25	0.4205445387
26	0.4202474015
27	0.4200933343
28	0.4196868191
29	0.4193382596
30	0.4189154504
31	0.41863046
32	0.4180851787
33	0.4177699878
34	0.417710832
35	0.4175004139
36	0.4172036304
37	0.4167983035
38	0.4165232636
39	0.4162161249
40	0.4161757978
41	0.4161476347
42	0.4159822915
43	0.4156457332
44	0.4152669269
45	0.4148132745
46	0.4146918271
47	0.413918341
48	0.4135757878
49	0.4132098822
50	0.4130039613
51	0.4129057894
52	0.4128985264
53	0.4128800182
54	0.4125019486
55	0.412269834
56	0.4120829099
57	0.4117712653
58	0.4114641293
59	0.4112264114
60	0.4112003979
61	0.4111976817
62	0.4111790333
63	0.4109463112
64	0.4105945873
65	0.4105466192
66	0.4105168757
67	0.4103566954
68	0.410123982
69	0.4099710772
70	0.4098866468
71	0.4098866468
72	0.4097459167
73	0.4096447912
74	0.4094396611
75	0.4091846115
76	0.4091843921
77	0.4088935318
78	0.4088818296
79	0.4087553863
80	0.4085086983
81	0.4084187683
82	0.4083527472
83	0.4080622229
84	0.4079696906
85	0.4076633954
86	0.4074232881
87	0.4073751207
88	0.40731967
89	0.4070025204
90	0.4069305881
91	0.4066568928
92	0.4064449078
93	0.406232925
94	0.4059738436
95	0.4057500164
96	0.4055375248
97	0.4052372853
98	0.4051131812
99	0.4048322265
100	0.4046112769
101	0.4045468443
102	0.4043322217
103	0.4041459763
104	0.4041410945
105	0.4038773861
106	0.4035851905
107	0.4035197498
108	0.4033615975
109	0.4031690701
110	0.4029516757
111	0.402736757
112	0.4025276969
113	0.402335631
114	0.4023306799
115	0.402325393
116	0.4022826247
117	0.4022825842
118	0.4021119979
119	0.4021096692
120	0.4018926597
121	0.4016511926
122	0.4014341931
123	0.4014067003
124	0.4011294203
125	0.40081624
126	0.4005248834
127	0.400431631
128	0.4002822982
129	0.4001802677
130	0.4000350188
131	0.3998968466
132	0.3997104071
133	0.3995375965
134	0.3995343452
135	0.3993051366
136	0.3990855226
137	0.3990448823
138	0.3988083238
139	0.398682627
140	0.3985029697
141	0.3982163517
142	0.3979112837
143	0.3976754492
144	0.3976696004
145	0.3976319039
146	0.3976027228
147	0.3975977605
148	0.3975120968
149	0.3973995268
150	0.3970403745
151	0.3968403404
152	0.396809386
153	0.3966740549
154	0.3964812091
155	0.3964812091
156	0.3963568613
157	0.3962477389
158	0.3959485405
159	0.3958996024
160	0.395781919
161	0.3957594618
162	0.3955548444
163	0.3953463141
164	0.3953457027
165	0.3953118732
166	0.3953117965
167	0.3952845424
168	0.3949851996
169	0.3949570135
170	0.3948290064
171	0.3946609605
172	0.3946513891
173	0.394503981
174	0.3943851336
175	0.3943822146
176	0.3943456668
177	0.3942832113
178	0.3942234056
179	0.3941782863
180	0.394154101
181	0.3941100944
182	0.3938974512
183	0.3937424057
184	0.3935814026
185	0.3933818649
186	0.3933418513
187	0.3931941254
188	0.3931609647
189	0.3929357783
190	0.3928675083
191	0.392839555
192	0.3927334902
193	0.3926259774
194	0.3925187837
195	0.3924988585
196	0.3923437306
197	0.3922115444
198	0.3920407837
199	0.3918419996
200	0.3917091474
201	0.3915034199
202	0.3912074131
203	0.3910874842
204	0.3909528913
205	0.3909249974
206	0.3907864118
207	0.3906124488
208	0.3904298576
209	0.3902262677
210	0.3901851656
211	0.3901774739
212	0.3901497157
213	0.3901005045
214	0.3899172087
215	0.3897447286
216	0.3895893647
217	0.3894844288
218	0.3894394335
219	0.3893981508
220	0.3892594815
221	0.3890935663
222	0.388957492
223	0.3889564027
224	0.3889392067
225	0.388777224
226	0.388772597
227	0.3887448669
228	0.388637796
229	0.3884857598
230	0.3883358466
231	0.3883038457
232	0.3881939154
233	0.3881789441
234	0.38814433
235	0.3879530621
236	0.387757194
237	0.3877392061
238	0.3876641871
239	0.3875699355
240	0.3875400788
241	0.3874176065
242	0.3873567275
243	0.3873408434
244	0.387164274
245	0.387137509
246	0.3870346294
247	0.3869402839
248	0.3867550071
249	0.3866140895
250	0.3866140811
251	0.3864922266
252	0.3862209158
253	0.3861900117
254	0.3860213506
255	0.3860078151
256	0.38584807
257	0.3856727212
258	0.3854626734
259	0.3852400266
260	0.3851394078
261	0.3849648525
262	0.3848018097
263	0.3846178646
264	0.3845589718
265	0.3844020305
266	0.3841982553
267	0.3841793885
268	0.3840643389
269	0.3840575055
270	0.3840324212
271	0.3840324208
272	0.3840312841
273	0.383828473
274	0.3837397303
275	0.3836920991
276	0.3836806434
277	0.3836212027
278	0.3836143526
279	0.3834097065
280	0.3832531789
281	0.3832400541
282	0.3831336308
283	0.3831023129
284	0.3829633634
285	0.3829322718
286	0.3827668896
287	0.3825993675
288	0.3825965969
289	0.3825806604
290	0.3824510868
291	0.3824371677
292	0.3822291382
293	0.3822113437
294	0.3820555374
295	0.382037474
296	0.3818736885
297	0.3818530501
298	0.3816841624
299	0.3816826144
300	0.3816554839
301	0.381517074
302	0.3813512015
303	0.38119414
304	0.3811780249
305	0.3811380596
306	0.3811297638
307	0.3810043664
308	0.3809784617
309	0.3808512535
310	0.3807116208
311	0.380528128
312	0.3803640492
313	0.3802677571
314	0.380216778
315	0.3801344885
316	0.3799649614
317	0.3799603836
318	0.3798321625
319	0.3798030789
320	0.3796047445
321	0.3796045517
322	0.3796044418
323	0.3796039322
324	0.3793026417
325	0.3792560003
326	0.3790700745
327	0.3789315767
328	0.3787886887
329	0.3786590506
330	0.378535841
331	0.3785229457
332	0.3784039377
333	0.3782408064
334	0.3781122993
335	0.3780092296
336	0.3780000231
337	0.3778691522
338	0.3777094626
339	0.3776931762
340	0.3775209595
341	0.3774364116
342	0.3773201362
343	0.3770927026
344	0.3768476064
345	0.3767565535
346	0.3766422596
347	0.3765928317
348	0.376467222
349	0.3763531608
350	0.3761856829
351	0.3760237557
352	0.3759157989
353	0.3758193405
354	0.3756408929
355	0.3755261748
356	0.3754999615
357	0.3753569945
358	0.3752326719
359	0.3750954985
360	0.3750895851
361	0.37491044
362	0.3748214348
363	0.3746610236
