iter	CrossEntropy
0	0.4671842858
1	0.4615263812
2	0.4566704366
3	0.4533589174
4	0.448810312
5	0.4457835821
6	0.4430571987
7	0.4408194591
8	0.438652657
9	0.4373695909
10	0.4361180223
11	0.4351321219
12	0.4341727863
13	0.4332497838
14	0.4324105273
15	0.4317007152
16	0.4309210315
17	0.4302001937
18	0.4296401811
19	0.4291003508
20	0.4281769885
21	0.4275304791
22	0.4267285907
23	0.4262775487
24	0.4258419939
25	0.4254531485
26	0.42511732
27	0.4247960216
28	0.424488241
29	0.4241592697
30	0.4238258927
31	0.4235342847
32	0.4233034739
33	0.4230214266
34	0.4227251326
35	0.4224815651
36	0.4219798
37	0.4216886322
38	0.4214213846
39	0.4212131915
40	0.4210276203
41	0.4208044771
42	0.4206432365
43	0.4204482711
44	0.4202751805
45	0.4201072145
46	0.4199136384
47	0.419762103
48	0.4195687711
49	0.4194039956
50	0.4192503462
51	0.4190952497
52	0.4189526931
53	0.418814747
54	0.418681788
55	0.4185371599
56	0.4183088785
57	0.4181735657
58	0.4180251405
59	0.4178943634
60	0.4177809188
61	0.4176669842
62	0.417551183
63	0.4174372303
64	0.4173405471
65	0.417240443
66	0.417119214
67	0.4170170552
68	0.4169165304
69	0.4168104762
70	0.4167284883
71	0.4166493177
72	0.4165717791
73	0.4164933804
74	0.4164162142
75	0.4162266502
76	0.4160689898
77	0.4159816865
78	0.4158840791
79	0.4158191631
80	0.4157379281
81	0.4156685793
82	0.4155971668
83	0.415476243
84	0.4154177069
85	0.4153042776
86	0.4151767791
87	0.4151027719
88	0.4150390502
89	0.4149815479
90	0.4149236545
91	0.4148429201
92	0.4147844523
93	0.4147378365
94	0.4146712591
95	0.4146163216
96	0.4145255582
97	0.4144704804
98	0.4144110116
99	0.4143650467
100	0.4143175027
101	0.4142615713
102	0.414196928
103	0.4141279119
104	0.4140739705
105	0.4140312365
106	0.4139844552
107	0.4139426998
108	0.4139127166
109	0.4137998836
110	0.4137209162
111	0.4136417998
112	0.4135998147
113	0.4135635824
114	0.4135200583
115	0.413473736
116	0.4134376696
117	0.4134051991
118	0.4133651966
119	0.4133266129
120	0.4132855449
121	0.4132238027
122	0.4131816054
123	0.4131419853
124	0.4130952714
125	0.4130485556
126	0.4130164448
127	0.4129781529
128	0.4129425286
129	0.412905742
130	0.4128649884
131	0.4128262685
132	0.4127969352
133	0.4127616186
134	0.4127251965
135	0.4126871278
136	0.4126581295
137	0.4126204903
138	0.4125655109
139	0.4125114028
140	0.4124523234
141	0.4124107828
142	0.4123647678
143	0.4123254734
144	0.4122932582
145	0.4122649173
146	0.412235282
147	0.4122062287
148	0.4121783478
149	0.4121533039
150	0.4121168399
151	0.4120931077
152	0.4120654061
153	0.412032657
154	0.4120017812
155	0.4119782965
156	0.4119480785
157	0.4119065387
158	0.4118706121
159	0.4118396241
160	0.4118147993
161	0.4117839834
162	0.4117580714
163	0.4117016774
164	0.4116561113
165	0.4116215773
166	0.4115832331
167	0.4115474465
168	0.4115261479
169	0.4115001316
170	0.4114730725
171	0.4114386893
172	0.4114136924
173	0.4113892336
174	0.4113659994
175	0.4113361413
176	0.4113128575
177	0.4112857483
178	0.4112550127
179	0.4112360546
180	0.4111967254
181	0.4111616754
182	0.4111373985
183	0.411114928
184	0.4110932312
185	0.4110730792
186	0.4110320754
187	0.4110108609
188	0.4109840057
189	0.4109529652
190	0.4109230622
191	0.4108968345
192	0.41087086
193	0.4108430534
194	0.4108203544
195	0.4108005969
196	0.4107754854
197	0.4107378527
198	0.4107065446
199	0.4106809145
200	0.410649502
201	0.4106171199
202	0.4105791601
203	0.4105487862
204	0.4105221534
205	0.4104918849
206	0.4104716644
207	0.4104519704
208	0.4104244527
209	0.4104016787
210	0.4103813488
211	0.4103592879
212	0.4103419326
213	0.4103115805
214	0.410286804
215	0.410262834
216	0.4102441235
217	0.4102231263
218	0.4102039429
219	0.4101867315
220	0.4101647218
221	0.4101455255
222	0.4101297481
223	0.4101144132
224	0.4100876405
225	0.4100716756
226	0.4100534779
227	0.4100381349
228	0.4100079743
229	0.4099912499
230	0.4099733854
231	0.4099551759
232	0.4099338725
233	0.4099112411
234	0.4098853746
235	0.4098630632
236	0.4098488272
237	0.4098320345
238	0.4098144643
239	0.4097972295
240	0.4097618553
241	0.4097252061
242	0.4096988171
243	0.4096798452
244	0.4096494054
245	0.4096363656
246	0.4096110301
247	0.4095938719
248	0.4095754343
249	0.4095420603
250	0.409513183
251	0.4094906398
252	0.4094685776
253	0.4094546696
254	0.4094073815
255	0.409378083
256	0.4093641035
257	0.4093421009
258	0.4093246768
259	0.4093055176
260	0.4092918067
261	0.4092809848
262	0.409268247
263	0.4092442187
264	0.4092233277
265	0.4091962053
266	0.4091736372
267	0.4091538667
268	0.4091401579
269	0.4091252099
