iter	Passed	Remaining
0	9	19025
1	17	17857
2	29	19444
3	39	19593
4	49	19914
5	60	19999
6	71	20374
7	84	20928
8	94	20996
9	106	21128
10	116	21145
11	127	21151
12	137	21090
13	148	21066
14	159	21077
15	189	23513
16	201	23487
17	212	23382
18	222	23245
19	234	23171
20	244	23077
21	255	22996
22	266	22940
23	277	22836
24	293	23159
25	303	23047
26	314	22961
27	324	22843
28	334	22729
29	345	22657
30	355	22573
31	365	22493
32	376	22447
33	387	22381
34	398	22389
35	409	22347
36	420	22321
37	431	22257
38	441	22206
39	452	22163
40	463	22122
41	473	22061
42	483	21999
43	493	21943
44	504	21905
45	514	21848
46	524	21805
47	535	21761
48	545	21716
49	556	21686
50	566	21644
51	577	21642
52	589	21646
53	616	22213
54	626	22162
55	636	22112
56	648	22090
57	658	22059
58	669	22014
59	679	21968
60	689	21930
61	700	21901
62	710	21855
63	721	21817
64	732	21808
65	742	21769
66	753	21739
67	763	21705
68	774	21666
69	786	21685
70	796	21648
71	808	21645
72	819	21633
73	830	21621
74	841	21591
75	853	21600
76	865	21616
77	876	21595
78	889	21621
79	899	21598
80	910	21575
81	921	21565
82	933	21550
83	950	21687
84	965	21762
85	979	21809
86	992	21819
87	1010	21962
88	1023	21967
89	1034	21951
90	1045	21937
91	1073	22260
92	1084	22237
93	1096	22229
94	1107	22204
95	1118	22185
96	1129	22162
97	1140	22137
98	1151	22115
99	1163	22108
100	1176	22127
101	1187	22099
102	1199	22090
103	1215	22158
104	1228	22170
105	1239	22146
106	1250	22127
107	1261	22102
108	1273	22085
109	1284	22061
110	1295	22052
111	1306	22029
112	1318	22011
113	1329	21988
114	1356	22228
115	1367	22215
116	1379	22202
117	1403	22391
118	1420	22447
119	1431	22419
120	1441	22389
121	1498	23067
122	1509	23032
123	1531	23163
124	1545	23179
125	1556	23143
126	1574	23219
127	1585	23189
128	1605	23288
129	1618	23281
130	1630	23264
131	1641	23229
132	1667	23401
133	1682	23433
134	1715	23697
135	1727	23671
136	1739	23648
137	1750	23616
138	1761	23585
139	1772	23548
140	1783	23508
141	1793	23470
142	1805	23440
143	1869	24096
144	1880	24053
145	1891	24016
146	1901	23971
147	1911	23925
148	1922	23882
149	1933	23848
150	1945	23817
151	1969	23949
152	1979	23902
153	1990	23861
154	2000	23813
155	2010	23768
156	2021	23733
157	2034	23716
158	2044	23671
159	2055	23641
160	2066	23603
161	2084	23652
162	2095	23618
163	2106	23577
164	2116	23543
165	2127	23504
166	2150	23608
167	2161	23568
168	2171	23526
169	2182	23489
170	2192	23450
171	2202	23410
172	2213	23372
173	2223	23337
174	2235	23308
175	2245	23268
176	2257	23249
177	2267	23208
178	2278	23180
179	2296	23222
180	2306	23184
181	2329	23272
182	2340	23235
183	2350	23202
184	2362	23176
185	2373	23143
186	2383	23110
187	2407	23209
188	2419	23180
189	2438	23234
190	2449	23204
191	2460	23171
192	2472	23145
193	2486	23151
